A,Q393762
UVV,Q7893929
UZA,unknown
V,Q328840
VAC,unknown
VAR,unknown
VBF,unknown
VC,unknown
VCO,unknown
VCRA,unknown
VER,unknown
VET,unknown
VFC,unknown
VGI,unknown
VGM,unknown
VGR,unknown
VIV,unknown
VKQ,unknown
VLO,Q1283291
VLT,unknown
VLY,unknown
VMC,Q1685287
VMI,Q7912506
VMW,Q11407
VNO,Q368181
VNO-I,unknown
VNO-K,unknown
VNTV,unknown
VPG,unknown
VPV,unknown
VR,unknown
VSH,unknown
VTA,unknown
VTR,unknown
VVC,Q7917863
VVI,unknown
VZ,Q467752
WAB,unknown
WAGE,unknown
WAIR,unknown
WAL,unknown
WAT,Q1322011
WBC,Q7946278
WBK,unknown
WBS,Q7978891
WCC,Q7949044
WCG,Q7981065
WCN,unknown
WD,unknown
WDR,Q7958965
WEA,unknown
WEC,Q8027166
WES,unknown
WEX,Q8038212
WFC,Q744149
WFC-J,unknown
WFC-L,unknown
WFC-N,unknown
WFC-O,unknown
WGL,unknown
WGO,unknown
WGP,unknown
WHG,Q21010691
WHR,Q1471346
WIA,unknown
WIW,unknown
WLK,Q17326957
WLL,unknown
WM,Q2552219
WMB,Q930639
WMC,unknown
WMK,unknown
WMT,Q483551
WNC,unknown
WNS,Q7953597
WOR,Q2594130
WPC,unknown
WPM,unknown
WPZ,unknown
WR,unknown
WRB,unknown
WRE,unknown
WRI,Q17091323
WSM,Q2581220
WSO,unknown
WSO.B,unknown
WSR,unknown
WST,unknown
WTM,unknown
WTR,unknown
WTS,unknown
WU,Q861042
WWE,Q35339
WWW,Q8030548
WY,Q1780382
WYN,Q303341
X,Q72539
XEC,unknown
XEL,unknown
XOM,Q156238
XOXO,unknown
XPO,unknown
XRX,Q152433
XYL,Q3146975
Y,Q151670
YELP,unknown
YPF,unknown
YUM,Q191615
ZB-A,unknown
ZBH,Q203552
ZF,unknown
ZNH,Q291090
ZTR,unknown
